"chak rajumolla,mahestola",22.43576148,88.29174072,"22.4357614801058,88.2917407234506",,,43,07:30
"3a,thakurpukur",22.45633263,88.30440172,"22.4563326318081,88.3044017215984",3,7,43,07:37
behala chowrasta,22.48722715,88.31322257,"22.4872271494927,88.3132225657804",4,9,43,07:46
taratala,22.50721401,88.32010832,"22.5072140144564,88.3201083216002",2,6,43,07:52
mominpore,22.51958592,88.32393621,"22.5195859180224,88.3239362077233",2,6,43,07:58
kala bagan,22.5183076,88.33318676,"22.5183076002932,88.3331867599838",1,4,43,08:02
chetla,22.51705835,88.33989838,"22.517058350742,88.3398983823376",1,3,43,08:05
